class,video,PSD_Delta,PSD_Theta,PSD_Alpha,PSD_Beta,PSD_Gamma
1,1,1.476469829331377e-06,8.5394000365343e-08,1.798984975081582e-08,6.329676506502884e-09,8.667152295939728e-10
1,2,1.4187216071385242e-05,2.5070934351714426e-07,1.2729508216199127e-07,2.1668646576530732e-08,3.60612248208302e-09
1,3,5.169406844420911e-07,4.459936114603674e-08,1.2761675251853856e-08,3.83620981870399e-09,2.352693772816499e-10
1,4,1.45064505093691e-06,7.906440007834333e-08,1.9054678911130294e-08,4.67948138058753e-09,5.204795854891629e-10
1,5,6.38605443801131e-05,5.209253068040319e-07,9.236381829762516e-08,3.22137826399271e-08,4.669966608181133e-09
2,1,2.331662269930908e-05,4.91448459293499e-07,1.2316572949421607e-07,2.199061868350131e-08,3.488095180031821e-09
2,2,4.241432062234175e-07,2.3790395102655477e-08,1.7659311126087312e-08,3.6437719587080818e-09,4.1874907549543754e-10
2,3,1.985953118836502e-07,1.068924984278418e-08,5.442300281691415e-08,1.7102089734676317e-09,3.1573073739749674e-10
2,4,4.4125995635240555e-05,6.011251753065313e-07,1.502952335743919e-07,3.422656355216662e-08,5.840731260085933e-09
2,5,2.182084581328733e-05,3.3717782799471675e-07,1.0387149637510476e-07,2.0341770827213065e-08,3.6803698807660264e-09
3,1,2.452469207458747e-07,1.8746242516495527e-08,2.2057707564272853e-08,3.0760136415080906e-09,1.3568876632932906e-10
3,2,3.7229396862800653e-08,2.188393221186285e-08,1.6499934438804268e-08,2.5436561084756316e-09,2.0173284938225773e-10
3,3,1.3612558539385276e-06,3.518261622425473e-08,6.738998439362842e-09,3.424915094854718e-09,7.359099461685327e-10
3,4,6.644779274927873e-07,2.457272952249729e-08,2.6332426061576577e-09,2.006629054169463e-09,1.7773290298279177e-10
3,5,2.139116980610698e-06,2.8184942679378345e-08,7.64412308193282e-09,3.5136211037913398e-09,4.806266275712527e-10
4,1,3.637505127144645e-07,4.979711767815985e-08,1.4728445083684338e-08,2.2086627233157318e-09,2.0662288533870465e-10
4,2,1.2598994809881762e-06,5.801578562101012e-08,1.59862127703719e-08,2.636904691258582e-09,4.5799513532914996e-10
4,3,1.3674748123625948e-06,4.405911711363354e-08,3.5098119009895035e-08,3.609639724747181e-09,8.52041952629451e-10
4,4,1.5894377943023554e-05,3.3558702628088583e-07,1.243023722616761e-07,2.77918441568823e-08,3.4540589084541908e-09
4,5,1.362654013853932e-06,4.4026611051721135e-08,1.2511445663689187e-08,3.933034161246413e-09,4.142055745339507e-10
5,1,1.4382760961986648e-06,4.0345624437852515e-08,1.1991612167258551e-08,1.8256943442722984e-09,1.4769671671217649e-10
5,2,3.300341530238996e-06,2.6647117856558155e-08,1.290053099361878e-08,2.6521357046965584e-09,3.943027360544566e-10
5,3,2.1077104253530388e-07,1.2320270609956443e-08,1.4571973087024896e-08,4.0743338514882554e-09,2.670438420655351e-10
5,4,7.435235981793381e-05,1.2820064087249426e-06,3.3173080029748746e-07,7.584046695265105e-08,1.10818753245274e-08
5,5,3.43022406986002e-05,9.265899453677504e-07,3.202520924681127e-07,5.28664410717186e-08,7.742395126621965e-09
6,1,7.3143758792035175e-06,1.6910561227992515e-07,3.388132035554697e-08,9.925003444921476e-09,1.6515508014199664e-09
6,2,2.0417698879530363e-05,4.999089122924363e-07,1.3938147216274937e-07,1.489446842067393e-08,2.952602194300598e-09
6,3,3.938615219452317e-07,8.914624770716647e-08,4.624125611080891e-08,4.60204570964419e-09,3.9064512132224476e-10
6,4,2.2996058596268977e-07,4.09936276510027e-08,2.1583475433361655e-08,3.5744582784174764e-09,2.826408734285704e-10
6,5,7.630719545594508e-06,1.71272677126463e-07,2.843709290674771e-08,8.08733394332272e-09,1.1033762305584515e-09
7,1,1.7843598784846284e-06,2.0815290518012787e-08,3.906609281141071e-08,3.037636908943607e-09,3.4756137187816687e-10
7,2,2.1349896793279155e-06,1.9235575575948147e-07,5.161862170679832e-08,9.474871492824136e-09,1.3149259134338173e-09
7,3,2.738339390634797e-07,2.944066207157287e-08,2.5582795145224082e-08,5.790475080837369e-09,8.465541247624424e-10
7,4,1.6408188210174938e-06,3.555562796096141e-08,1.1869234082291698e-08,4.794574902245512e-09,3.477976908778901e-10
7,5,1.2943720823389e-06,6.840525434062934e-08,4.2067903520116997e-08,2.230939026184598e-09,3.911114763267213e-10
8,1,9.157412713696658e-07,9.142333050161585e-08,3.964909043848141e-08,5.975842812773886e-09,6.441133672188981e-10
8,2,1.5200432553122032e-07,3.796057624633313e-08,1.8678723334349804e-08,2.9875047557168327e-09,3.376675773872518e-10
8,3,9.461367725700743e-07,3.175818249888824e-08,1.0722126943428417e-08,2.744711130579376e-09,4.838368507258795e-10
8,4,3.386773031307605e-07,1.4247865963325803e-08,8.552901724200033e-09,2.0669815093582982e-09,1.6481696757071946e-10
8,5,3.615725810633898e-07,2.4805970250172916e-08,9.200808987033277e-09,1.6028975489001697e-09,2.2205270970698887e-10
9,1,4.436597760216439e-08,2.646349324901114e-08,1.119092631510361e-08,3.52435625259572e-09,4.123070717082934e-10
9,2,6.638807818800027e-07,6.65227486107441e-08,1.7800742043848486e-08,3.2551686636108583e-09,2.7195506214601606e-10
9,3,7.2269936034376325e-06,6.597339283576178e-08,1.981057888707074e-08,3.459887174628375e-09,5.702051116085442e-10
9,4,5.422091382935172e-06,2.9815272847399143e-07,6.289082917852338e-08,1.698295255201718e-08,2.5433375499114347e-09
9,5,1.041075505349857e-05,2.918772892221326e-07,8.002836567853817e-08,1.9395604546001276e-08,3.125361341725654e-09
10,1,1.5904364279940467e-06,8.37328725621462e-08,1.913826032165494e-08,4.866878203221585e-09,4.882716492990462e-10
10,2,2.9614730871015692e-06,8.43362687386975e-08,6.645573668870044e-08,5.446384767132006e-09,8.658161891240068e-10
10,3,1.8607162695767082e-06,2.8224385777775654e-08,2.7691176810774818e-08,6.769523362670251e-09,5.259072658622696e-10
10,4,1.1259136781712454e-07,6.607476191594371e-09,4.8533853999215784e-09,2.5926711047684496e-09,5.212994452687114e-10
10,5,5.490281017159536e-05,6.67892912623643e-07,2.445063453266937e-07,4.124096012980905e-08,5.995812021411237e-09
11,1,8.272305834017727e-07,7.964678952587396e-08,2.15802177453822e-08,1.7870079402922048e-08,3.100631008640904e-09
11,2,6.305244043626539e-06,1.2104113433875938e-07,3.608348590144066e-08,8.289701887391667e-09,1.3527017982755597e-09
11,3,2.2282383049563944e-06,1.4978093757679976e-07,8.558610305984297e-09,3.1479105275960037e-09,4.65296694690748e-10
11,4,4.4482318829557173e-07,3.673389003131801e-08,2.8901920403453053e-08,5.043305210532857e-09,4.4740894135985535e-10
11,5,3.587991253269436e-07,8.69805769366276e-08,2.0480460399921805e-08,6.2078621130078055e-09,1.0716905495276094e-09
12,1,1.3248158610149407e-06,1.1534377636270197e-07,3.414158899542836e-08,3.796756378187131e-09,7.685446096365519e-10
12,2,2.5159456008184867e-05,4.613624973137279e-07,4.2663011392795075e-08,2.1192532683280425e-08,2.612027338004497e-09
12,3,7.227720651114294e-06,2.6729727906792664e-07,8.153577559882671e-08,8.023194767098864e-09,1.4103105825663123e-09
12,4,5.23922106507907e-08,4.7521437505582574e-08,2.1913732868187467e-08,4.828333439678106e-09,2.3731846203942934e-10
12,5,0.00013206055611058605,1.248932563150716e-06,3.2345697362944277e-07,7.694484072588849e-08,1.2035944698201468e-08
13,1,1.9244969574224516e-06,1.3300050059340002e-07,2.6962057603468704e-08,6.143559098423512e-09,7.031441592193918e-10
13,2,9.91754784469573e-06,2.1206067975607618e-07,8.884889685539178e-08,9.382411673617433e-09,1.7728763202474897e-09
13,3,2.860460173483907e-07,2.8745900682751545e-08,2.100662385079305e-08,2.1619361142020497e-09,2.2875986357031474e-10
13,4,1.1303843279894253e-07,3.4095038267109604e-08,1.9687724542473822e-08,2.617304877700498e-09,4.142268957923442e-10
13,5,2.769767093754463e-08,2.717768247815862e-08,8.032733002789164e-09,2.0207041112252974e-09,4.474557177676305e-10
14,1,1.0357353019788593e-07,5.6633888128292093e-08,3.6010222235415577e-08,8.240607100520736e-09,1.6458258381592607e-09
14,2,1.411197705253758e-06,6.078828805822258e-08,1.1505116506539927e-08,4.083239816810959e-09,5.389053650852273e-10
14,3,1.926176841079516e-08,2.099208461366681e-08,1.0450904290548374e-08,3.413313506286473e-09,2.961801008932805e-10
14,4,1.035478787079323e-06,8.561981746169108e-08,4.4876163993456734e-08,1.9844767605190048e-09,2.6888448659228476e-10
14,5,2.450267804538555e-07,7.362826956709294e-08,1.9185655779757997e-08,5.341467320913328e-09,3.2125668207046025e-10
15,1,2.400429087531021e-08,1.1496863782928645e-08,1.9010732454040323e-08,2.190231560804647e-09,2.738303438136312e-10
15,2,1.1093742614491771e-05,3.6387225903472685e-07,1.2061502436863393e-07,1.6180092898440865e-08,3.1010020872058446e-09
15,3,5.096010966905611e-07,6.199245590677805e-08,2.9321624915503754e-08,1.6217459256370656e-09,2.5281041395821903e-10
15,4,1.9104992581139797e-05,2.1665013141752813e-07,9.4656603243725e-08,2.3878833844324557e-08,3.2391141746511867e-09
15,5,4.922373797847195e-07,3.045686528648554e-08,1.9937963678249007e-08,1.916653835205505e-09,3.104586512995988e-10
16,1,4.37204518233129e-07,2.1347813158076058e-08,9.841371910333123e-09,1.7183533170190922e-09,2.7611411294562294e-10
16,2,3.070504082644301e-08,1.7623453925771843e-08,1.1416567818871464e-08,2.8547736195209988e-09,2.62140411156921e-10
16,3,9.442667785040388e-09,1.4562237704641232e-08,4.683565714897637e-08,4.800207701346326e-09,4.713269611119082e-10
16,4,9.869260019182329e-08,1.7506020469139062e-08,8.649441434580994e-09,2.8396497296846387e-09,3.311733174650905e-10
16,5,7.269249780142126e-07,6.167267244455538e-08,5.859090081056301e-08,4.396163024552323e-09,3.616287252687262e-10
17,1,1.370094108244406e-06,3.521527507110474e-08,1.0474942084346902e-08,2.6082912601066043e-09,4.264724911805594e-10
17,2,3.672999016494742e-06,1.6668232819314808e-07,4.2317318748327956e-08,4.995599335662296e-09,9.550369992346244e-10
17,3,1.4655112457638943e-06,9.507446686750562e-08,1.7080173257485397e-08,4.282254236980127e-09,9.690647369094491e-10
17,4,5.082839192955956e-07,9.117241160303519e-08,2.1689194433937e-08,2.5454158320766414e-09,5.778452673357731e-10
17,5,5.668959780793189e-05,9.242614128017694e-07,2.699282997430402e-07,7.853968832458536e-08,1.0793842512551688e-08
18,1,2.4774077324034425e-06,4.417583226884164e-08,1.1764229132528172e-08,3.865818101579904e-09,7.426348263445777e-10
18,2,3.383844558677236e-05,1.005908187779687e-06,1.998372873546204e-07,5.191502735822289e-08,8.496079966794068e-09
18,3,5.62989522039744e-07,2.3700475557565287e-08,2.2178200215430505e-08,4.761246010440787e-09,4.2693933373810233e-10
18,4,8.170057052832686e-06,1.6102329073988716e-07,8.686881568002187e-08,2.9020991812334746e-09,1.0070601004150723e-09
18,5,1.5155706775697222e-06,3.468317887705737e-08,1.903614487052438e-08,3.234370467220718e-09,3.260500405230077e-10
19,1,1.9816911564465327e-07,6.200631455784009e-09,2.7564622947571398e-08,3.813474314922553e-09,2.4093259720637596e-10
19,2,3.7810381774537056e-08,1.790955269372618e-08,1.5070017914033535e-08,5.689570739987486e-09,5.583359651046558e-10
19,3,4.018606082746849e-05,1.061616329577052e-06,2.3828259037163604e-07,7.003257009171416e-08,9.960757492481153e-09
19,4,5.011435786795544e-06,2.0224388054961505e-07,6.690395084924236e-08,1.4575265550818888e-08,2.8463762340425874e-09
19,5,2.734551366540394e-05,3.804389500717241e-07,5.050840094304387e-08,1.8849052998914712e-08,2.306361061940962e-09
20,1,1.4355676741378755e-06,2.895979078028678e-08,1.9822599483073967e-08,4.68289408398099e-09,3.52609620680653e-10
20,2,3.725677333659515e-07,7.952351334967037e-09,1.2213171739297324e-08,3.248614256220698e-09,3.1438567578217496e-10
20,3,2.424642053542302e-06,3.4677241547685383e-08,1.3284474426468372e-08,4.382387875734234e-09,4.726048670114338e-10
20,4,1.7507608140199988e-06,5.968349036677246e-08,1.0221829151601279e-08,3.979924886923269e-09,9.115012124652161e-10
20,5,1.5155578339850226e-05,2.9555783937123107e-07,8.550446017250368e-08,1.8557602273547605e-08,3.489140804333197e-09
21,1,2.8889204744959805e-07,4.043351458822118e-08,1.1583462927546073e-08,1.5391865705269384e-09,3.111718887558057e-10
21,2,2.626256352866658e-07,1.1118339416678977e-08,1.35042260131662e-08,3.6574635413271724e-09,3.3805476526618513e-10
21,3,2.069039035530343e-06,6.503201214095164e-08,1.5050375683375388e-08,2.702209463321573e-09,4.48327161485349e-10
21,4,2.6275884580435477e-07,2.212692051791684e-08,9.505507996044147e-09,2.74577771833303e-09,2.0487967620628886e-10
21,5,2.7092248146725164e-07,9.491068440823531e-08,1.7002466416712313e-08,3.03387019891946e-09,4.979069895478698e-10
22,1,1.7572282838953103e-07,8.401055486846823e-08,1.2785087165954144e-08,4.283882256593439e-09,6.328828103569e-10
22,2,1.4839103050131534e-07,3.582615671656112e-08,1.2595397366837815e-08,4.528029934126484e-09,2.667161592165208e-10
22,3,7.023422236013631e-08,3.020155020227792e-08,1.544568357771368e-08,3.1693551107197355e-09,4.080574580306437e-10
22,4,4.807630884633874e-07,3.164481829993683e-08,1.0340824119874778e-08,2.3249044197017364e-09,3.1211612664955806e-10
22,5,1.188759626240916e-06,7.243073756042346e-08,9.875712383692576e-08,2.924737101078831e-09,5.205069977179591e-10
23,1,3.855692742641327e-06,1.8502468337608545e-07,6.441951382428112e-08,9.968105606904118e-09,1.5546497917645436e-09
23,2,5.462545587237626e-07,2.829266955644437e-08,2.0163697952269317e-08,2.2355890408397314e-09,3.1948939629426453e-10
23,3,4.282849952345283e-06,1.5476597128441482e-07,4.263390291426982e-08,6.597576341271856e-09,1.4918352316358284e-09
23,4,4.8897689413141196e-08,5.7881417102796135e-08,1.66874463551026e-08,4.81669795917821e-09,3.2056363276568915e-10
23,5,4.954073362557997e-07,1.0033369524604679e-07,3.110906782967117e-08,2.2665390784715323e-09,3.867333777096244e-10
24,1,9.914307119120979e-07,8.06987019879894e-08,1.8293909084347113e-08,2.3401284073786655e-09,5.077134232899619e-10
24,2,1.3286411370106003e-07,3.9046890813528695e-08,9.02644560431442e-09,2.9652830993543844e-09,2.738695187482147e-10
24,3,4.609000594504962e-07,5.289117476526963e-08,6.124144704281128e-09,2.7774116804161317e-09,2.990466811385578e-10
24,4,4.546889488643975e-08,3.605101610562062e-08,5.277874092354506e-09,2.237340765976709e-09,2.1565708371798213e-10
24,5,3.7227591419476464e-08,2.209491066379795e-08,9.460552864237085e-08,5.177101696109813e-09,2.337611404607753e-10
25,1,3.898452238472977e-06,2.3433248974882052e-07,2.764518746089895e-08,1.6417242845406917e-08,1.8094949091579563e-09
25,2,8.525682332587317e-07,7.340865121417491e-08,2.5424063821932314e-08,2.043947172417574e-09,5.748591921026379e-10
25,3,7.926051843059983e-07,2.8640049587932483e-08,3.333550933826712e-08,2.434558806452618e-09,3.2737316944754663e-10
25,4,9.526515583236843e-08,4.595175250731632e-08,2.0963264821446125e-08,2.7682871534343167e-09,3.0668121699786933e-10
25,5,1.0337367018945291e-07,4.489578999015939e-08,6.570991352813734e-08,5.3943341595526515e-09,2.9110250004535124e-10
26,1,4.626540626492433e-07,3.987522212921411e-08,2.6107509585047e-08,2.1501556475673203e-09,1.8974687012595904e-10
26,2,9.622651346227018e-07,3.840953005439647e-08,9.018981557023572e-09,2.92385273319284e-09,4.1512031028367564e-10
26,3,8.724861130527753e-07,5.858176393862861e-08,3.024089482600184e-08,2.430237207365521e-09,2.0960849984812905e-10
26,4,9.181599879759869e-08,4.6652828493516744e-08,1.718509028221932e-08,1.8217901743617853e-09,3.4745043387903027e-10
26,5,2.765487305304955e-07,1.440785436545612e-08,1.0666393963233424e-08,2.5395080035734507e-09,3.061748882154307e-10
27,1,1.952882681989208e-06,4.656254761140588e-08,5.541574483469182e-08,5.597234563774413e-09,6.580825320581849e-10
27,2,6.765380655403086e-08,7.958839026843788e-09,7.28343806775824e-09,2.3518734952339073e-09,1.6827762928035452e-10
27,3,4.4334454166950226e-07,2.8951103467895126e-08,3.391032181597957e-08,3.045327175820819e-09,2.970814046709742e-10
27,4,1.1644976094637953e-07,1.5506848269694734e-08,8.395617021378824e-09,2.1833315689863004e-09,2.6734816737254974e-10
27,5,6.026049955495176e-07,2.0907360267759362e-08,8.817470009040368e-09,3.855473546687577e-09,3.731152175958311e-10
28,1,9.456671580633004e-06,1.791867705213839e-07,4.597074242413416e-08,8.401673907142379e-09,1.2282812909803753e-09
28,2,6.445949727082586e-06,1.461430645596381e-07,5.1538318718774137e-08,9.214881357893064e-09,1.4622729515480541e-09
28,3,2.999144150105504e-06,6.164765198710774e-08,3.186677760454531e-08,6.307756824280103e-09,6.347196555718842e-10
28,4,5.705297198662452e-08,2.560458126127667e-08,1.1521524228178532e-08,4.406195676879677e-09,1.8698096563823254e-10
28,5,1.4492230776829326e-06,1.4273758950178926e-07,3.2814034096011055e-08,5.192866769030679e-09,4.946041366318011e-10
29,1,1.0589769732699745e-06,6.047883186721339e-08,5.850202366720261e-08,6.361642516986732e-09,6.494801551823967e-10
29,2,9.389596107322412e-07,6.69408320628839e-08,1.43128117030101e-08,5.047252744798759e-09,3.5111226643440883e-10
29,3,1.2720105797944092e-07,6.944814197654714e-08,3.2357997131648455e-08,4.421979254103781e-09,2.9003910491310484e-10
29,4,2.347665736262531e-07,1.644033467948907e-08,8.56467993028306e-09,2.0724349224269765e-09,2.304196748401903e-10
29,5,1.466086770182176e-06,3.953790009509522e-08,6.562372371482891e-08,4.789507241777371e-09,4.0336954069159185e-10
30,1,1.475450202637618e-07,9.221256998987512e-08,3.132630827484099e-08,7.3663613135089924e-09,2.6100390671687654e-10
30,2,9.332228241756745e-08,2.812161174560647e-08,4.4296821615587094e-09,2.4002659078066713e-09,3.155173131139044e-10
30,3,5.905906539622311e-07,6.755147712091562e-08,2.5306015640129013e-08,4.02687493532763e-09,1.8661653837588238e-09
30,4,8.415298823823179e-07,8.289510238929847e-08,2.269065008688518e-08,6.987895884295442e-09,7.596209144425663e-10
30,5,1.7508607420240314e-07,6.307947048458402e-08,3.8492657175742005e-08,3.4622714483086633e-09,2.8784136465428776e-10
31,1,4.706975810297388e-06,2.698391408470928e-08,4.269861513649422e-08,2.768501247899103e-09,2.5365045285518515e-10
31,2,3.258679554872792e-05,7.999818206079141e-07,1.8097060450527888e-07,3.1697558677262393e-08,5.283210146178666e-09
31,3,2.3714558057604613e-06,5.5555940732348894e-08,2.0966264361463848e-08,3.32361541752332e-09,4.278181666129037e-10
31,4,1.7786993469776583e-06,2.766553505771616e-08,2.5804735731323515e-08,3.708912424447641e-09,4.153610068410956e-10
31,5,4.463287681089831e-06,5.175713202751185e-08,2.0175733646784534e-08,2.971431940698758e-09,5.507026843934083e-10
32,1,8.853511275452883e-06,2.418480119976846e-07,4.706472026284733e-08,1.287113073051422e-08,2.3629691273773257e-09
32,2,4.6462492485705355e-08,1.6804854152135165e-08,2.279542852006866e-08,4.428718978405309e-09,3.70767857999772e-10
32,3,1.2457639202074227e-06,4.1622475131960364e-08,1.2763347534919132e-08,2.001783073646599e-09,5.619088987464252e-10
32,4,1.1158989152841409e-07,8.216326987075881e-09,4.183263411300408e-08,4.47066385797004e-09,5.391241436644178e-10
32,5,3.8262719542517557e-07,1.2017094778110956e-07,6.593943864300466e-08,6.460963682144491e-09,9.737211805460681e-10
33,1,3.4744274972970565e-08,1.763228427872279e-08,2.3480154458703e-08,5.150701200234885e-09,2.400282889719987e-10
33,2,1.670754019042792e-07,5.998675768003937e-08,3.695741122362852e-08,5.224577245621077e-09,3.0979884370227504e-10
33,3,6.863624176613734e-07,5.8718114062757737e-08,1.1918787830511056e-08,3.209210463717598e-09,6.648128695073324e-10
33,4,4.1577121081061404e-07,4.4951585189342815e-08,1.5887558900762786e-08,3.0253997052606113e-09,2.5321919138833786e-10
33,5,5.0896248664234576e-08,3.360492021769164e-08,3.473092883578858e-08,8.106613817861984e-10,2.2125649314327997e-10
34,1,1.0653871569277927e-06,4.437661327104443e-08,1.4731133375912462e-08,6.931248673125666e-09,3.413297170715603e-10
34,2,1.4738039014730345e-06,5.704500140963496e-08,2.3467094047293993e-08,4.669528540294481e-09,6.096669928419824e-10
34,3,2.74982214689702e-07,4.684600613342659e-08,6.357235169337402e-08,3.462049835985166e-09,1.9244320489349054e-10
34,4,8.223181020819645e-07,9.011805981160176e-08,4.478162916920266e-08,2.3015604334255432e-09,2.3919991359023727e-10
34,5,6.886404983409186e-07,6.136453883436282e-08,2.7610250863439473e-08,5.750604188266029e-09,5.078267477201478e-10
35,1,2.4677835830903216e-05,6.120467468579564e-07,2.450922874787654e-07,3.479618096951317e-08,6.129670389422706e-09
35,2,1.9171021229146496e-05,1.935149119028594e-07,7.510191239795727e-08,1.7965542061465445e-08,1.914133389354993e-09
35,3,7.836924135268551e-07,1.4854489552531152e-07,2.1059979218907553e-08,4.3534473948451755e-09,5.216497814391921e-10
35,4,1.0531065598171605e-05,1.6920317735730104e-07,3.3949044829837863e-08,8.076187757218461e-09,3.3718898761247886e-09
35,5,4.83844098530973e-06,8.900030385980974e-08,3.026008711764223e-08,7.125011846270185e-09,1.0062076137147357e-09
36,1,3.850134985455271e-07,4.100194889438012e-08,2.4071343217099287e-08,4.104018666807223e-09,2.850561956082282e-10
36,2,4.5873321142312105e-07,9.566584670064816e-09,1.3672563064825503e-08,4.356449285552667e-09,2.301788351376246e-10
36,3,8.608935735524905e-07,4.706124410857875e-08,6.271760973955358e-09,4.6856925332726066e-09,7.797033468414644e-10
36,4,3.0632778731126146e-07,9.741533702185495e-08,6.942779714283745e-08,4.051581452635887e-09,3.932483363080961e-10
36,5,2.5216057543928052e-06,6.736624017435863e-08,3.118583532515594e-08,7.841057016785082e-09,7.873845431976477e-10
37,1,3.018559320956616e-07,2.849722858381739e-08,2.4115751054617504e-08,4.164686507001302e-09,2.5130515586399373e-10
37,2,2.3444924187141313e-08,2.5399178433045685e-08,2.3052170651455784e-08,3.4823344912932124e-09,2.849578503961967e-10
37,3,1.2828476838777477e-07,2.1878095853336606e-08,9.59557301148673e-09,3.4353774147444214e-09,2.684022638885171e-10
37,4,4.0592696653701517e-07,1.5687004660017677e-07,1.2490185581160206e-08,4.7920422995730965e-09,2.28875636763359e-10
37,5,5.643502082127604e-07,2.6144846260324926e-08,4.051948740131927e-09,3.000935803361946e-09,2.0748995545839225e-10
38,1,1.559030954145509e-05,5.131669806544777e-07,7.56243863974073e-08,1.620535479394937e-08,4.186460804140228e-09
38,2,3.948806982258784e-06,5.24602260700061e-08,2.991359559404277e-08,2.7927257724635983e-09,4.124905888632391e-10
38,3,6.8019705416153695e-06,1.3151489263012724e-07,3.24404692396321e-08,5.663559183033637e-09,1.065482829877434e-09
38,4,1.0380240460898505e-05,5.238576757143963e-07,5.058090349261494e-08,6.595686189109564e-09,1.4791132384698309e-09
38,5,6.132386225365017e-06,1.683291087169755e-07,5.2371300002749756e-08,1.9060151265749707e-08,2.5400804115082718e-09
39,1,9.809381181817656e-07,3.280401071872437e-08,1.6690651303518373e-08,4.19322630980022e-09,2.8784853691091867e-10
39,2,8.566931702459831e-06,1.2152856187592797e-07,1.0505728916582854e-07,8.464090560041071e-09,1.1613579769493684e-09
39,3,2.1081031921499783e-05,3.1294633038991127e-07,7.626049661864869e-08,1.9353123244465492e-08,3.4174041890398154e-09
39,4,3.555626927372624e-05,7.301629256613965e-07,2.1375839348164599e-07,4.012021797255066e-08,5.433842849191935e-09
39,5,1.636710452876876e-05,8.465371510728884e-08,1.1822136575032207e-07,8.918358695871258e-09,6.515378714427893e-10
40,1,2.437152483553064e-05,3.815952143731933e-07,1.6080161761922608e-07,3.639683541817096e-08,5.850272472736625e-09
40,2,2.769821710096081e-06,9.55856460036392e-08,3.8544874038739116e-08,7.634434651877046e-09,1.2861883528734563e-09
40,3,7.632976026338953e-06,2.3388595384768931e-07,6.071496228761565e-08,7.926840905172739e-09,1.5215869963396987e-09
40,4,6.245470646724261e-06,2.1940501629347553e-07,7.195724175928198e-08,1.62050239956584e-08,3.365942823937102e-09
40,5,5.5341320090509495e-06,1.9312407788295013e-07,1.9167080799369073e-07,2.4561061047398753e-08,3.474731882544043e-09
